wallet_address,count,percentage
0x1F99D1Bc5dCD5A87c6bCB40655A7438F99B6B601,13,0.59
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,12,0.54
0xd3Ae73F4fa5ba54Db8bfd8f80371351e49647EfD,13,0.59
0xB04B989d8Fe9F986b85cFd6951852626075D9BEd,1,0.05
0xF5D39fbdaB34F9771770C2Df3aF05629058f3c14,1,0.05
0xB019F6bAA8DeFD29AA02Dd13B94037012a83667B,1,0.05
0x392a681D9cD54105C0E7D94a40cde058b6c554FA,1,0.05
0xF0dc9b0cDFAda96eeeC67B684B70d2c90A840170,4,0.18
0x4b3B04c6eEa5C46e317e53833ab0c8987e508080,1,0.05
0x5df264A53CD5dC14D3C4aBad5A28e1cFfceb5796,1,0.05
0x149b1a32A605A819aBE2181c7FCE04E13Ea0A7AB,2,0.09
0x2F3c3f5328A826ECd7a8c0632D8E1a04A3ab074A,1,0.05
0x3DA22f83Fce557E7eAC3103a7288f15F4559600c,1,0.05
0x8E311B532641cD79F1396aD25b0a1Fd808D0E413,4,0.18
0x5Bf732320EddaB175d2878563d3FBFaBbf16a0B4,5,0.23
0xf5F22A92Cb2aeB1581Ef38DCa9f1412ab30fF353,5,0.23
0x4b41f8f2c6D476751C791c705021d6C28a7E27cc,4,0.18
0xAc8Ba037C86C3A20cf2a97c635433149f4B331fB,5,0.23
0x34BEb7850F6716d6b2c77861c9f5a5abd4Ff4Bb7,6,0.27
0x30eDA22FffF0316947a1bfE4B6C52Bd4b67687f1,5,0.23
0x8436DD196D2f4e13D5ed17B2bb20dCA16e628849,4,0.18
0x470b4496E246ba5354624f9D866fe6089db3A56c,5,0.23
0x20f059Ac1f7d54fB7Bdf07a8D138a1cBe95500bF,2,0.09
0xc84666E685FC1a9E03e2f123e8e1Ca1b870C6Fa5,1,0.05
0xE7Abdd078Ff771b482649ba335fbbca4Da32e5CD,1,0.05
0x9aAb328ee09642cc5d047d683E11834AC84f6926,1,0.05
0xad4a8F4A7cB3331a53e627167cDae450C72614A4,1,0.05
0x4D987546cDAFA0a240c7B61bD5Ceb8Cbc1492E15,1,0.05
0xa141BC13f074293a6af1165CB7FF4d67B258D657,2,0.09
0xF707be1C3247609f55e2043d6Bb4d9F716F56040,1,0.05
0x80472baA6cFd389c5ae0DD6474fb4cFdCb68D3ed,1,0.05
0x01e22a813C144bF63A0B73BA2FaeAA8Fb219005D,1,0.05
0x45C86569f61E0618B91F202b9A88891A64C1D601,1,0.05
0xf27d2C40DADa8A4D7de1107C8A5D496a02a3f7d7,1,0.05
0xfB60a7E9EFA50A66392EF1456fdA399383E8E5fE,1,0.05
0xe10F96b27B27B11fB672d37308867d48775196E3,5,0.23
0x1B10Fae83C2c08C3809E4FEd4e1814F5BF8cD0B3,11,0.5
0x19A2FcfA3916a4B77A0c14e3A28A24f43081A341,4,0.18
0xaEF2107171df6C962CE8976B64ceD8e03A734A81,10,0.45
0xCd100b28cC300068585c36D0166f7F52199af700,18,0.82
0xB777b1e4058fDE4944B83Ebf1A356C8A0bcCD590,8,0.36
0x359D1E3bCC6D753fe2548BC4d374c0F62B34CFF5,12,0.54
0x3cec7357744396Fa779dBCE2d048C0457e1F6361,15,0.68
0x0d6E3F47D195428DaC0bFeE1A580761C3f6Cec88,15,0.68
0x557fd6ef3128a4692341DCf473a39d9267E2424D,17,0.77
0x9bc1a6287c4C6696581d756cf35d4A7f6113FE4E,7,0.32
0x051c43078fbaF956833142Fd30454763e8aD0365,19,0.86
0x91b2F971B3029b2fcb63F90694275c7d3567182c,10,0.45
0x1aDB95f74aAC56d6bFeb9df9B1AFB1a234f0786d,16,0.73
0x27C59b66D9db16eE6cb25575D62D8651DDF558ec,13,0.59
0x293E70c941ae2F81Ca8168b77bb8aAF087543655,16,0.73
0x3a0e94d73CB89b73C8DE4b3d38264A23AF265a47,2,0.09
0x5AFf773189D447539383d0070c3359cE0Caf42F2,1,0.05
0xe430641009C90b32940046e753679d0c403C9945,56,2.54
0x46d7AF1d81dfAb5480DCE984383aBba266f7ce16,38,1.73
0x8102E4F2C18105a75c2aFFc09a89527207149A1B,37,1.68
0x46939aeF6C0E02168E74E79e4992D2dd1B5eEc07,40,1.82
0xa6f1C6590db71f052952d880B4abE4428157D471,43,1.95
0x7eD98e836727d66af7bFe4390aFfDbc242671FB0,38,1.73
0xb34c686360bC65C1EF09780534B6BE98B5f009cf,35,1.59
0x8DA4Bd80f8A75D67dF8CEfAd97d9fAFf87280888,38,1.73
0x06654c661A043B227393aF2D957eE7581faD85B6,30,1.36
0xa81637e70E218E91876d7a1aaD511311F5A68A1a,1,0.05
0x2e5Ce41E1aA5aeEed814526E261958D428432e1a,8,0.36
0x7129A5D0D5074baf25123D872a88FBC8b0374a74,1,0.05
0x624Db5968C2c30EF0F7714805eC3075c895128C2,1,0.05
0xaA51074409A336170b59eA257c06f80330f91157,2,0.09
0xA56e6CEF6DBf6d75a5932015caC5088223aa82Da,2,0.09
0x23bc4Dc9172d15Bbe02E57C0269EcD46c007EB95,12,0.54
0x2E6D6612e8cEAe49fb1b973DD63EC25DEAD02B57,11,0.5
0xf080D35a6FBeE71Ec639A8971cc0EfC5a00d467e,4,0.18
0xDA2008EE6351B501C9D05740B0ae020f6AF2980A,53,2.41
0x28Ac89eE2e562a03C6E467fe0CB2E5EF5196a57E,57,2.59
0xF0dc9b0cDFAda96eeeC67B684B70d2c90A840170,2,0.09
0x8e2047aebc17D5982728a7D045eAC2CEAc5b5183,1,0.05
0x61b1aCe74308654A8e600Fc3D8B90BE8C0BbEbA0,4,0.18
0x66713ED48B83918e5E77CEb3DC6852d933209Bf0,2,0.09
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,5,0.23
0x5D4Bd23068Ba1b891656194c984B844aBC4b8533,1,0.05
0xb97890230D2C22bCf4967b84C84ec69b00D39b3a,1,0.05
0xAD6d8D1040a5253a3C7773396f0626e739AeEcC0,4,0.18
0x42bc391d2b726148322b8ac504e7a4e75ee604b3,3,0.14
0xbb09bc9bb8445162d9577ed5242a9e640b85305f,3,0.14
0x8294ec29452d908aea3648aace0d1b625b4e0991,4,0.18
0xb6faa97b42c0dc1f26557db15c8e28c01953779e,4,0.18
0x9db6a774020ccf08b5ed0ed950762a2245392f60,1,0.05
0x7541d10f475d153e73c4bae26412fc16a1b460f2,1,0.05
0x05900dcADd23e2280a6531AE16ce1AD37D69e41e,7,0.32
0x17D082D495A9617096B599A67eBaFC3cEd741bF8,4,0.18
0x5Ed3b3c359DF3f05B9C4F58Aa1b0A2d248102b81,3,0.14
0xB7BEe623a172c4A57C04e9fc5507ADf5e92F1763,8,0.36
0xaF5dbD3d5369F416eD624f3c211e1541fA99BCb3,8,0.36
0x6E4bBbF409F5381349A8717D32f3F314cD086f5B,8,0.36
0x009aC5D28442F063A771Df133394BC22700C4091,8,0.36
0xc177820BEeA610AB0545C2122c43bdD9cAA3BE5e,6,0.27
0xB9C0f1a445630c0c6D87c0a9a7Eed9E012AAE1f7,4,0.18
0xeda0ad9475AA9A08e4c2E5325e4F1FdBF12525E1,7,0.32
0x1EF4226717f96518719BB70F556AeaC78aA67E46,1,0.05
0x4d3773481829fb923cF1b48002178dEC01df0A85,1,0.05
0xe93685f3bBA03016F02bD1828BaDD6195988D950,1,0.05
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,4,0.18
0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341,3,0.14
0xAD6d8D1040a5253a3C7773396f0626e739AeEcC0,1,0.05
0x42Bc391D2b726148322B8Ac504e7A4E75eE604B3,3,0.14
0x86e6fa80a9a646d990da377e35d9d88699d78eec,21,0.95
0x5dddf26b92324fd6e1c38c1cfbd77a570f214574,1,0.05
0xbdcb9ea80c91c86799b98630bfb9105476924347,2,0.09
0x9b9f1f289e6e7d1f7726b4df674b5e4beab94718,3,0.14
0x0602c0dca34817a6ce2843a3add1f2fa82f26b41,4,0.18
0xd7c7561d604851eb8ff5c968703fd51945475317,1,0.05
0x42260072dd498829f5338186082ec254edebc1cd,4,0.18
0x7e1ccdc9bc46a0e925206b9093e259df074b6b3e,2,0.09
0xc6804c5ce483d2d7fde504e6db1b881af8fc42ab,2,0.09
0x99d889661f55d9d5dbac9237b19c99209a910e60,2,0.09
0x3729183468Be27AF92E5fbf559dafD33e51d99bD,5,0.23
0x041bfb0984f183e1b4fb6ab73fb2d110fe21575f,2,0.09
0x7814d9dc295cace368cc3c48ed113f0bdd73651b,2,0.09
0x5bcd934ddac8db834d3d346f8682ef308c0fb98c,1,0.05
0xa3820425c4c2f8235297b3cbdf42cbc788ed3bcc,1,0.05
0xefd1bd9ebdb1b37cf15b8e59f56df462cd828f68,1,0.05
0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341,2,0.09
0xe10f96b27b27b11fb672d37308867d48775196e3,1,0.05
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,1,0.05
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,1,0.05
0x1F99D1Bc5dCD5A87c6bCB40655A7438F99B6B601,2,0.09
0x9EE75f7d03EA9bF8950dAf1082644d1b30F3d7FC,1,0.05
Total,991,45.0
